,Year,State,Population,Violent Crime,Murder-Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-Theft,Motor Vehicle Theft,% Violent Crime,% Murder-Manslaughter,% Rape,% Robbery,% Aggravated Assault,% Property Crime,% Burglary,% Larceny-Theft,% Motor Vehicle Theft
0,2018,Alabama,4887871,25399,383,1996,4076,18944,137700,28841,95747,13112,0.005196331899921254,7.835722342099454e-05,0.00040835774921228486,0.0008339008946840046,0.0038757160326039703,0.028171774582430673,0.005900523970456667,0.019588692091096514,0.0026825585208774946
1,2018,Alaska,737438,6526,47,1192,896,4391,24339,3979,16364,3996,0.008849557522123894,6.373417155069308e-05,0.001616407074221833,0.001215017398072787,0.005954398878278581,0.03300480853983657,0.005395707842557612,0.02219034006926684,0.005418760628012118
2,2018,Arizona,7171646,34058,369,3638,6523,23528,191974,31532,141303,19139,0.004748979522971435,5.145262328899112e-05,0.0005072754567082647,0.0009095540967861492,0.00328069734618803,0.02676847128260374,0.00439675912614761,0.01970300820759976,0.002668703948856371
3,2018,Arkansas,3013825,16384,216,2196,1594,12378,87793,19193,61487,7113,0.0054362811377568375,7.166972203097393e-05,0.0007286421739815682,0.0005288960042470946,0.0041070732374972,0.029130092158635622,0.00636831932842816,0.020401649067215248,0.002360123762992211
4,2018,California,39557045,176982,1739,15505,54326,105412,941618,164632,621775,155211,0.004474095575137122,4.3961827785670035e-05,0.00039196557781300396,0.0013733583992434218,0.002664809770295026,0.0238040531086182,0.004161888230023249,0.015718439029002294,0.003923725849592658
5,2018,Colorado,5695564,22624,210,4070,3797,14547,152163,21371,109119,21673,0.003972214165269673,3.687079980138929e-05,0.0007145912151983544,0.0006666591754565483,0.002554092974813381,0.02671605481037523,0.0037522183931213834,0.019158594302513324,0.0038052421147405243
6,2018,Connecticut,3572665,7411,83,840,2194,4294,60055,7948,44724,7383,0.0020743618559254788,2.3231957096453207e-05,0.00023511860194000837,0.000614107396019498,0.001201903900869519,0.016809580523222862,0.0022246698193085553,0.01251838613472016,0.002066524569194145
7,2018,Delaware,967171,4097,48,338,866,2845,22481,3158,17847,1476,0.004236065804289004,4.9629279620666874e-05,0.0003494728439955292,0.0008953949198228648,0.002941568760849943,0.023244079899004417,0.003265193021709708,0.0184527865289592,0.0015261003483355063
8,2018,District of Columbia,702455,6996,160,450,2415,3971,30724,1788,26343,2593,0.009959356827127716,0.00022777259753293806,0.0006406104305613883,0.003437942644012784,0.005653031155020606,0.04373803304126243,0.0025453587774305828,0.03750133460506367,0.0036913396587681772
9,2018,Florida,21299325,81980,1107,8438,16884,55551,486017,71933,372919,41165,0.003848948264792429,5.197347803275456e-05,0.00039616278919637126,0.0007927011771499801,0.002608110820413323,0.02281842264954406,0.003377243175546643,0.01750848911878663,0.0019326903552107871
